Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
cat,truck3,dog,4.5979705e-35,6.67275e-20,1.3902399e-14,0,0,1,truck,,,0,1
cat,oven1,dog,6.2268206e-33,2.8091342e-35,1.5140133e-14,0,0,1,cat,,,1,0
cat,car3,dog,6.3975006e-37,4.6143765e-29,1.3349373e-15,0,0,1,car,,,0,1
cat,truck1,dog,1.337e-42,1.3971686e-25,3.5807962e-18,0,0,1,truck,,,0,1
cat,car2,dog,6.1113814e-37,1.2035024e-29,4.3195814e-16,0,0,1,car,,,0,1
cat,knife2,dog,3.14889e-40,2.423e-42,2.1634244e-17,0,0,1,cat,,,1,0
cat,bottle1,dog,1.0307425e-37,2.4551174e-30,3.1674628e-16,0,0,1,bottle,,,0,1
cat,elephant3,dog,5.720768e-33,0.0,3.033619e-14,0,0,1,cat,,,1,0
cat,bird2,dog,2.466418e-35,2.7583767e-22,5.6030437e-15,0,0,1,bird,,,0,1
cat,bear1,dog,7.445875e-36,1.0038619e-30,5.3415e-15,0,0,1,bear,,,0,1
cat,airplane2,dog,2.8525804e-31,2.5e-44,1.4278077e-13,0,0,1,cat,,,1,0
cat,knife3,dog,3.354507e-34,8.934292e-35,2.189159e-14,0,0,1,cat,,,1,0
cat,bottle2,dog,6.317e-42,4.0305575e-34,7.130507e-18,0,0,1,bottle,,,0,1
cat,bear1,dog,7.445875e-36,1.0038619e-30,5.3415e-15,0,0,1,bear,,,0,1
cat,dog2,dog,1.7485552e-38,1.0057934e-16,1.0057934e-16,0,1,0,dog,,,0,1
cat,airplane1,dog,3.1985356e-35,0.0,1.1945048e-15,0,0,1,cat,,,1,0
cat,clock3,dog,5.437278e-37,4.1787563e-32,7.3848017e-16,0,0,1,clock,,,0,1
cat,clock1,dog,3.1436565e-35,3.0969605e-31,3.411418e-15,0,0,1,clock,,,0,1
cat,dog3,dog,1.1531189e-31,8.498503e-14,8.498503e-14,0,1,0,dog,,,0,1
cat,dog3,dog,1.1531189e-31,8.498503e-14,8.498503e-14,0,1,0,dog,,,0,1
cat,chair3,dog,3.1205867e-36,1.1743703e-25,6.7389835e-16,0,0,1,chair,,,0,1
cat,boat3,dog,3.0304081e-34,3.9296436e-20,9.8188356e-15,0,0,1,boat,,,0,1
cat,bird1,dog,2.0786137e-32,3.2842512e-21,3.0788692e-14,0,0,1,bird,,,0,1
cat,keyboard3,dog,3.9524836e-27,3.4786806e-28,7.009054e-12,0,0,1,cat,,,1,0
cat,knife2,dog,3.14889e-40,2.423e-42,2.1634244e-17,0,0,1,cat,,,1,0
cat,car2,dog,6.1113814e-37,1.2035024e-29,4.3195814e-16,0,0,1,car,,,0,1
cat,car2,dog,6.1113814e-37,1.2035024e-29,4.3195814e-16,0,0,1,car,,,0,1
cat,elephant1,dog,8.475229e-33,0.0,5.292751e-14,0,0,1,cat,,,1,0
cat,keyboard3,dog,3.9524836e-27,3.4786806e-28,7.009054e-12,0,0,1,cat,,,1,0
cat,elephant2,dog,2.1936311e-26,1.1927978e-37,5.082761e-12,0,0,1,cat,,,1,0
cat,oven2,dog,1.2125224e-35,4.6665332e-38,2.9161426e-15,0,0,1,cat,,,1,0
cat,keyboard3,dog,3.9524836e-27,3.4786806e-28,7.009054e-12,0,0,1,cat,,,1,0
cat,airplane3,dog,4.726627e-34,0.0,1.2095001e-14,0,0,1,cat,,,1,0
cat,boat1,dog,3.7260723e-35,1.4608245e-20,2.4549342e-15,0,0,1,boat,,,0,1
cat,truck3,dog,4.5979705e-35,6.67275e-20,1.3902399e-14,0,0,1,truck,,,0,1
cat,bicycle1,dog,6.506803e-39,0.0,1.5109065e-16,0,0,1,cat,,,1,0
cat,elephant1,dog,8.475229e-33,0.0,5.292751e-14,0,0,1,cat,,,1,0
cat,dog1,dog,1.6198417e-33,9.669874e-15,9.669874e-15,0,1,0,dog,,,0,1
cat,oven1,dog,6.2268206e-33,2.8091342e-35,1.5140133e-14,0,0,1,cat,,,1,0
cat,boat2,dog,1.0660818e-37,1.1672009e-21,4.3505375e-16,0,0,1,boat,,,0,1
cat,bicycle3,dog,1.2493633e-34,2.4e-44,1.5695089e-15,0,0,1,cat,,,1,0
cat,clock3,dog,5.437278e-37,4.1787563e-32,7.3848017e-16,0,0,1,clock,,,0,1
cat,keyboard2,dog,1.7848e-41,5.9e-44,2.1565164e-17,0,0,1,cat,,,1,0
