Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
bear,airplane1,boat,1.5334022e-05,3.4778735e-05,0.0027239728,0,0,1,airplane,,,0,1
bear,truck3,truck,9.266796e-06,0.0031477413,0.0031477413,0,1,0,truck,,,0,1
bear,cat2,cat,8.879195e-05,0.0015498741,0.0015498741,0,1,0,cat,,,0,1
bear,chair1,clock,1.2014229e-05,0.0009576292,0.0013431668,0,0,1,chair,,,0,1
bear,cat2,cat,8.879195e-05,0.0015498741,0.0015498741,0,1,0,cat,,,0,1
bear,oven1,keyboard,4.2158254e-06,6.6709654e-05,0.0009848326,0,0,1,oven,,,0,1
bear,cat1,bear,0.119555704,0.0027247209,0.119555704,1,0,0,bear,,,1,0
bear,bicycle3,clock,0.0005924314,0.00011826637,0.003941946,0,0,1,bear,,,1,0
bear,bottle1,clock,1.934439e-05,0.0058892355,0.020387223,0,0,1,bottle,,,0,1
bear,boat2,boat,4.223222e-06,0.06846832,0.06846832,0,1,0,boat,,,0,1
bear,chair2,chair,4.617843e-05,0.014655774,0.014655774,0,1,0,chair,,,0,1
bear,clock1,bottle,1.4449312e-06,0.0032056158,0.009286002,0,0,1,clock,,,0,1
bear,bird3,oven,1.4857514e-05,4.9149647e-05,0.0058124606,0,0,1,bird,,,0,1
bear,car3,car,7.018209e-05,0.0051536164,0.0051536164,0,1,0,car,,,0,1
bear,bicycle2,bottle,5.859382e-06,0.0026154383,0.0060594445,0,0,1,bicycle,,,0,1
bear,boat2,boat,4.223222e-06,0.06846832,0.06846832,0,1,0,boat,,,0,1
bear,truck1,chair,8.699599e-06,0.0009799005,0.009286876,0,0,1,truck,,,0,1
bear,truck1,chair,8.699599e-06,0.0009799005,0.009286876,0,0,1,truck,,,0,1
bear,bird1,elephant,0.0033234158,0.00031989167,0.018537145,0,0,1,bear,,,1,0
bear,elephant2,elephant,0.000103523475,0.018365875,0.018365875,0,1,0,elephant,,,0,1
bear,keyboard2,elephant,6.1891646e-05,0.001264082,0.001468586,0,0,1,keyboard,,,0,1
bear,knife2,knife,7.4653753e-06,0.0048661944,0.0048661944,0,1,0,knife,,,0,1
bear,knife1,elephant,8.6296695e-06,0.00018370597,0.0028821188,0,0,1,knife,,,0,1
bear,car2,bottle,2.4479386e-06,0.00093102927,0.0038772565,0,0,1,car,,,0,1
bear,car2,bottle,2.4479386e-06,0.00093102927,0.0038772565,0,0,1,car,,,0,1
bear,clock2,bottle,2.5106547e-05,0.00038813325,0.00048902404,0,0,1,clock,,,0,1
bear,car2,bottle,2.4479386e-06,0.00093102927,0.0038772565,0,0,1,car,,,0,1
bear,clock3,clock,2.8063221e-05,0.0021583578,0.0021583578,0,1,0,clock,,,0,1
bear,bicycle3,clock,0.0005924314,0.00011826637,0.003941946,0,0,1,bear,,,1,0
