Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
truck,bottle3,bottle,0.01821324,0.095105305,0.095105305,0,1,0,bottle,,,0,1
truck,elephant2,elephant,5.430637e-05,0.364771,0.364771,0,1,0,elephant,,,0,1
truck,cat1,dog,9.057469e-05,0.0008293821,0.0074093575,0,0,1,cat,,,0,1
truck,knife3,knife,0.00012742731,0.033973064,0.033973064,0,1,0,knife,,,0,1
truck,oven2,truck,0.051971056,0.0005841833,0.051971056,1,0,0,truck,,,1,0
truck,airplane2,car,0.0036659215,3.3634027e-05,0.008890336,0,0,1,truck,,,1,0
truck,bird2,truck,0.010497219,1.3043429e-05,0.010497219,1,0,0,truck,,,1,0
truck,keyboard1,truck,0.00024445803,1.9816428e-06,0.00024445803,1,0,0,truck,,,1,0
truck,dog2,oven,0.00039533988,0.006133209,0.0066832886,0,0,1,dog,,,0,1
truck,keyboard1,truck,0.00024445803,1.9816428e-06,0.00024445803,1,0,0,truck,,,1,0
truck,bear3,dog,4.5667994e-06,0.00019052923,0.008920894,0,0,1,bear,,,0,1
truck,bird2,truck,0.010497219,1.3043429e-05,0.010497219,1,0,0,truck,,,1,0
truck,car3,truck,0.10959421,0.02548143,0.10959421,1,0,0,truck,,,1,0
truck,bicycle2,car,0.015749063,0.00011102584,0.032841694,0,0,1,truck,,,1,0
truck,chair2,truck,0.038013726,0.00011766078,0.038013726,1,0,0,truck,,,1,0
truck,bottle2,bottle,1.7593211e-05,0.13690062,0.13690062,0,1,0,bottle,,,0,1
truck,keyboard2,keyboard,0.00095098116,0.0021378906,0.0021378906,0,1,0,keyboard,,,0,1
truck,boat3,truck,0.11589813,1.930486e-06,0.11589813,1,0,0,truck,,,1,0
truck,bear1,bear,0.002146691,0.01300341,0.01300341,0,1,0,bear,,,0,1
truck,boat3,truck,0.11589813,1.930486e-06,0.11589813,1,0,0,truck,,,1,0
truck,airplane3,car,0.0019551718,7.628076e-06,0.0076584797,0,0,1,truck,,,1,0
truck,car3,truck,0.10959421,0.02548143,0.10959421,1,0,0,truck,,,1,0
truck,clock1,truck,0.011815834,0.010244629,0.011815834,1,0,0,truck,,,1,0
truck,bird2,truck,0.010497219,1.3043429e-05,0.010497219,1,0,0,truck,,,1,0
truck,oven3,truck,0.03396429,0.00013031752,0.03396429,1,0,0,truck,,,1,0
truck,chair1,car,0.0016855146,0.004877534,0.1583951,0,0,1,chair,,,0,1
truck,boat3,truck,0.11589813,1.930486e-06,0.11589813,1,0,0,truck,,,1,0
truck,bottle2,bottle,1.7593211e-05,0.13690062,0.13690062,0,1,0,bottle,,,0,1
truck,elephant1,elephant,3.3400909e-06,0.0116737615,0.0116737615,0,1,0,elephant,,,0,1
truck,cat2,oven,0.00010788064,0.00040804685,0.006612209,0,0,1,cat,,,0,1
truck,dog1,dog,0.00032206727,0.006851655,0.006851655,0,1,0,dog,,,0,1
truck,bicycle1,truck,0.0071666096,0.006785826,0.0071666096,1,0,0,truck,,,1,0
truck,bird1,truck,0.05416857,0.00038014987,0.05416857,1,0,0,truck,,,1,0
truck,bicycle3,truck,0.008970466,0.006037741,0.008970466,1,0,0,truck,,,1,0
truck,bear2,bear,0.00044662924,0.031264182,0.031264182,0,1,0,bear,,,0,1
truck,elephant1,elephant,3.3400909e-06,0.0116737615,0.0116737615,0,1,0,elephant,,,0,1
truck,airplane3,car,0.0019551718,7.628076e-06,0.0076584797,0,0,1,truck,,,1,0
truck,bottle3,bottle,0.01821324,0.095105305,0.095105305,0,1,0,bottle,,,0,1
truck,car1,truck,0.034558162,0.022339078,0.034558162,1,0,0,truck,,,1,0
truck,boat1,truck,0.035205007,0.0017356003,0.035205007,1,0,0,truck,,,1,0
truck,knife1,truck,0.0045285323,0.00068680954,0.0045285323,1,0,0,truck,,,1,0
truck,chair2,truck,0.038013726,0.00011766078,0.038013726,1,0,0,truck,,,1,0
truck,bicycle1,truck,0.0071666096,0.006785826,0.0071666096,1,0,0,truck,,,1,0
truck,cat2,oven,0.00010788064,0.00040804685,0.006612209,0,0,1,cat,,,0,1
truck,cat1,dog,9.057469e-05,0.0008293821,0.0074093575,0,0,1,cat,,,0,1
truck,dog3,oven,0.001508863,0.0059673074,0.018205225,0,0,1,dog,,,0,1
truck,elephant3,elephant,1.4981895e-06,0.0010946718,0.0010946718,0,1,0,elephant,,,0,1
truck,knife1,truck,0.0045285323,0.00068680954,0.0045285323,1,0,0,truck,,,1,0
truck,clock3,clock,5.7165456e-05,7.639843e-05,7.639843e-05,0,1,0,clock,,,0,1
truck,chair3,car,0.004603535,0.0010390027,0.0052477964,0,0,1,truck,,,1,0
truck,oven2,truck,0.051971056,0.0005841833,0.051971056,1,0,0,truck,,,1,0
truck,airplane2,car,0.0036659215,3.3634027e-05,0.008890336,0,0,1,truck,,,1,0
truck,bird2,truck,0.010497219,1.3043429e-05,0.010497219,1,0,0,truck,,,1,0
truck,bear1,bear,0.002146691,0.01300341,0.01300341,0,1,0,bear,,,0,1
truck,bear2,bear,0.00044662924,0.031264182,0.031264182,0,1,0,bear,,,0,1
truck,knife2,truck,0.0192533,2.8113773e-06,0.0192533,1,0,0,truck,,,1,0
truck,dog3,oven,0.001508863,0.0059673074,0.018205225,0,0,1,dog,,,0,1
truck,clock1,truck,0.011815834,0.010244629,0.011815834,1,0,0,truck,,,1,0
truck,boat2,truck,0.010608491,0.0012005576,0.010608491,1,0,0,truck,,,1,0
truck,dog3,oven,0.001508863,0.0059673074,0.018205225,0,0,1,dog,,,0,1
truck,keyboard3,truck,0.00025068177,6.1954954e-05,0.00025068177,1,0,0,truck,,,1,0
truck,chair2,truck,0.038013726,0.00011766078,0.038013726,1,0,0,truck,,,1,0
truck,cat3,oven,0.00036086474,0.00133521,0.13855688,0,0,1,cat,,,0,1
truck,keyboard3,truck,0.00025068177,6.1954954e-05,0.00025068177,1,0,0,truck,,,1,0
truck,bottle2,bottle,1.7593211e-05,0.13690062,0.13690062,0,1,0,bottle,,,0,1
truck,airplane1,truck,0.0027002925,0.000100249716,0.0027002925,1,0,0,truck,,,1,0
truck,oven2,truck,0.051971056,0.0005841833,0.051971056,1,0,0,truck,,,1,0
truck,clock2,truck,0.008082458,0.00072985765,0.008082458,1,0,0,truck,,,1,0
truck,clock3,clock,5.7165456e-05,7.639843e-05,7.639843e-05,0,1,0,clock,,,0,1
truck,car3,truck,0.10959421,0.02548143,0.10959421,1,0,0,truck,,,1,0
truck,car3,truck,0.10959421,0.02548143,0.10959421,1,0,0,truck,,,1,0
truck,elephant1,elephant,3.3400909e-06,0.0116737615,0.0116737615,0,1,0,elephant,,,0,1
truck,knife2,truck,0.0192533,2.8113773e-06,0.0192533,1,0,0,truck,,,1,0
truck,oven3,truck,0.03396429,0.00013031752,0.03396429,1,0,0,truck,,,1,0
truck,bicycle1,truck,0.0071666096,0.006785826,0.0071666096,1,0,0,truck,,,1,0
